name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC125384965,LOC125384965,16,6,2,4,22,11,7
LOC100642722,LOC100642722,93,84,8,18,69,69,42
LOC100651675,LOC100651675,43,88,17,40,56,84,188
LOC100650637,LOC100650637,123,72,99,33,123,165,86
LOC125384968,LOC125384968,0,0,0,0,0,0,0
LOC100649167,LOC100649167,9,23,0,0,17,0,15
LOC100631070,LOC100631070,0,12,0,0,2,0,1
LOC100642746,LOC100642746,6,16,1,4,11,236,9890
LOC100647612,LOC100647612,119,209,34,38,143,51,513
LOC100646057,LOC100646057,45,33,145,98,31,340,4
LOC100648014,LOC100648014,279,284,222,181,230,347,568
LOC100644842,LOC100644842,113,80,34,62,74,87,154
LOC105665656,LOC105665656,13,7,15,6,8,15,19
LOC100644010,LOC100644010,47,72,101,22,52,80,76
LOC100651598,LOC100651598,63,101,96,34,62,89,72
LOC105665655,LOC105665655,10,18,33,11,14,23,18
LOC100642875,LOC100642875,27,61,46,15,20,46,62
LOC100650317,LOC100650317,10,14,0,0,0,2,0
LOC100649086,LOC100649086,14,21,28,26,23,36,46
LOC100646583,LOC100646583,276,212,141,116,181,358,1403
LOC100648392,LOC100648392,128,137,118,151,168,152,176
LOC100649921,LOC100649921,122,140,82,89,104,126,124
LOC100649168,LOC100649168,165,150,102,43,118,272,143
LOC100652034,LOC100652034,34,21,30,14,22,61,23
LOC100651074,LOC100651074,202,219,634,431,210,653,162
LOC100650921,LOC100650921,26,18,25,22,13,42,10
LOC125384841,LOC125384841,3,4,2,0,4,2,40
LOC125384862,LOC125384862,0,0,0,0,0,0,0
LOC100645439,LOC100645439,45,53,1,6,47,25,179
